WKT,id
"LINESTRING (95.8015852390853 20.6496359335409,95.7051070526971 20.7258715725954,95.6073130650462 20.8004118240716,95.5082330651285 20.8732339822869,95.407897233672 20.9443158649064,95.3063361339428 21.0136358197,95.2035807024357 21.0811727311381,95.0996622394506 21.1469060268232,94.994612399558 21.2108156837566,94.8884631819567 21.2728822344377,94.7812469207268 21.3330867727939,94.67299627498 21.3914109599396,94.5637442189118 21.4478370297625,94.4535240317566 21.5023477943351,94.3423692876512 21.5549266491503,94.2303138454076 21.6055575781797,94.1173918381988 21.6542251587519,94.0036376631622 21.7009145662503,93.8890859709215 21.7456115786291,93.7737716550317 21.7883025807453,93.6577298413507 21.8289745685062,93.5409958773389 21.8676151528303,93.4236053212927 21.9042125634213,93.3055939315126 21.9387556523533,93.1869976554111 21.9712338974669,93.0678526185628 22.0016374055741,92.9481951137001 22.0299569154716,92.8280615896581 22.0561838007624,92.707488640272 22.0803100724832,92.5865129932302 22.102328381538,92.4651714988868 22.1222320209365,92.3435011190363 22.1400149278373,92.2215389156551 22.1556716853947,92.0993220396118 22.1691975244087,92.0687370062371 22.1722450811501,91.9768877193509 22.1805883247778,91.8722713097714 22.1886172225222)",1
"LINESTRING (93.8205561330562 19.4053531892582,93.7870370635755 19.4093199055348,93.7527135093043 19.413982792091,93.718476561268 19.4192439970866,93.6843366483726 19.4251019179074,93.6503041699664 19.4315547701741,93.616389492672 19.4386005882854,93.5826029472285 19.4462372260168,93.5489548253451 19.4544623571744,93.5154553765655 19.4632734763037,93.4821148051465 19.4726678994524,93.448943266949 19.4826427649882,93.415950866345 19.4931950344704,93.3831476531392 19.5043214935756,93.3505436195081 19.5160187530765,93.3181486969564 19.5282832498745,93.2859727532911 19.5411112480851,93.2540255896164 19.5544988401758,93.2223169373479 19.5684419481564,93.1908564552481 19.5829363248211,93.1596537264848 19.5979775550423,93.1287182557114 19.6135610571156,93.0980594661718 19.6296820841553,93.0676866968306 19.6463357255405,93.0376091995273 19.6635169084105,93.007836136159 19.6812203992108,92.9783765758894 19.6994408052864,92.9492394923857 19.7181725765253,92.9204337610859 19.7374100070483,92.8919681564948 19.7571472369479,92.8638513495114 19.7773782540726,92.8360919047873 19.7980968958585,92.8086982781184 19.8192968512068,92.7816788138687 19.8409716624056,92.7550417424288 19.8631147270975,92.7287951777086 19.8857193002904,92.7029471146661 19.9087784964124,92.6775054268716 19.932285291409,92.6524778641097 19.9562325248827,92.6278720500185 19.9806129022742,92.6036954797673 20.0054189970844,92.5799555177736 20.0306432531365,92.5566593954597 20.0562779868777,92.5338142090503 20.0823153897199,92.5114269174105 20.1087475304178,92.489504339926 20.1355663574854,92.4680531544264 20.1627637016481,92.4470798951507 20.1903312783315,92.4265909507566 20.2182606901847,92.4065925623753 20.2465434296382,92.3870908217095 20.2751708814956,92.3680916691783 20.3041343255577,92.3496008921077 20.333424939279,92.3316241229674 20.3630338004547,92.3141668376555 20.3929518899389,92.2972343538303 20.4231700943917,92.2808318292902 20.4536792090553,92.2649642604033 20.4844699405578,92.2496364805846 20.5155329097442,92.2348531588244 20.5468586545331,92.2206187982658 20.5784376327992,92.2069377348328 20.6102602252798,92.1938141359098 20.6423167385049,92.1812519990724 20.6745974077502,92.1692551508689 20.7070924000109,92.1578272456556 20.7397918169978,92.1469717644832 20.7726856981516,92.1366920140363 20.8057640236774,92.1269911256266 20.839016717597,92.1178720542385 20.8724336508175,92.1093375776297 20.9060046442174,92.1013902954843 20.9397194717469,92.0940326286215 20.973567863543,92.0872668182578 21.0075395090575,92.0810949253247 21.0416240601983,92.0755188298405 21.0758111344808,92.070540230338 21.110090318191,92.0661606433467 21.1444511695575,92.0623814029313 21.178883221932,92.0592036602851 21.213375986978,92.0566283833792 21.2479189578651,92.0546563566678 21.2825016124696,92.0532881808496 21.3171134165799,92.052524272684 21.3517438271053,92.0523648648649 21.3700101539151,92.0523648648649 21.3863822952873)",2
"LINESTRING (95.6214916839917 20.1420995510045,95.6540368748234 20.1419471876355,95.7062240942218 20.1409633733032,95.7583861953262 20.1390689162467,95.8105072890555 20.1362643935362,95.8625714988195 20.1325506594563,95.9145629653557 20.1279288452465,95.9664658515596 20.1224003587561,96.0182643473093 20.1159668840156,96.0699426742813 20.1086303807239,96.1214850907565 20.1003930836508,96.1728758964155 20.0912575019569,96.2240994371212 20.0812264184289,96.2751401096867 20.0703028886319,96.3259823666289 20.0584902399789,96.3766107209036 20.0457920707172,96.4270097506239 20.0322122488322,96.4771641037569 20.017754910869,96.5270585028008 20.002424460673,96.5766777494385 19.9862255680478,96.6260067291666 19.9691631673329,96.6750304159 19.9512424559009,96.723733876549 19.9324688925742,96.7721022755676 19.9128481959619,96.8201208794729 19.8923863427184,96.8677750613329 19.8710895657224,96.9150503052223 19.8489643521783,96.9619322106438 19.8260174416407,97.0084064969148 19.8022558239607,97.0544590075176 19.7776867371573,97.1000757144112 19.7523176652124,97.145242722305 19.7261563357909,97.1899462728906 19.6992107178873,97.2341727490336 19.6714890193978,97.2779086789209 19.6429996846203,97.3211407401646 19.6137513916822,97.36385576386 19.5837530498969,97.4060407385971 19.5530137970498,97.447682814424 19.5215429966151,97.4887693067609 19.4893502349035,97.5292877002643 19.4564453181421,97.5692256526391 19.4228382694874,97.6085709983979 19.3885393259717,97.6473117525674 19.3535589353858,97.6854361143386 19.3179077530952,97.7229324706615 19.2815966387957,97.7597893997828 19.2446366532042,97.7959956747248 19.2070390546906,97.8315402667054 19.1688152958474,97.8664123484976 19.1299770200019,97.9006012977274 19.0905360576692,97.9340967001098 19.0505044229485,97.9668883526207 19.0098943098635,97.9989662666051 18.9687180886481,98.0303206708195 18.9269883019781,98.0609420144089 18.8847176611507,98.0908209698152 18.8419190422127,98.1199484356192 18.798605482038,98.1483155393126 18.7547901743567,98.175913640001 18.7104864657357,98.2027343310354 18.6657078515141,98.2287694425736 18.6204679716915,98.2540110440683 18.5747806067735,98.2737785862786 18.5376296965347,98.2784514466833 18.5286596735741,98.3020832056351 18.4821192209762,98.324899122461 18.4351734256526,98.3468922472118 18.3878365877474,98.3680558805686 18.3401231265199,98.3883835758836 18.2920475759526)",3
"LINESTRING (95.7033523908524 20.191215975121,95.7391386003649 20.2136077248168,95.7820249574857 20.2394919251535,95.8253565243913 20.264623713066,95.8691201018664 20.2889954331682,95.9133023591015 20.3125996615983,95.9578898377531 20.3354292082794,96.0028689560431 20.3574771191105,96.0482260128965 20.3787366780844,96.0939471921144 20.3992014093335,96.1400185665825 20.4188650791025,96.1864261025141 20.4377216976469,96.233155663724 20.4557655210582,96.2801930159352 20.4729910530128,96.3275238311147 20.4893930464471,96.3751336918375 20.5049665051547,96.423008095679 20.5197066853094,96.4711324596318 20.5336090969095,96.5194921245487 20.5466695051457,96.5680723596071 20.5588839316912,96.6168583667969 20.5702486559133,96.6658352854277 20.5807602160069,96.7149881966556 20.590415410049,96.7643021280277 20.599211296974,96.8137620580427 20.6071451974695,96.863352920727 20.6142146947925,96.9130596102232 20.6204176355057,96.9628669853923 20.6257521301332,97.0127598744253 20.6302165537364,97.0627230794649 20.6338095464084,97.1127413812348 20.636530013689,97.1627995436757 20.6383771268975,97.2128823185865 20.6393503233853,97.2629744502687 20.6394493067073,97.3130606801738 20.6386740467122,97.363125751551 20.6370247795517,97.4131544140945 20.6345020076087,97.4631314285891 20.6311064993438,97.513041571552 20.6268392890618,97.5628696398701 20.6217016765962,97.6126004554313 20.6156952269136,97.6622188697473 20.6088217696368,97.7117097685684 20.6010833984874,97.7610580764874 20.5924824706483,97.8102487615318 20.5830216060453,97.8592668397422 20.5727036865495,97.9080973797373 20.5615318550991,97.9567255072615 20.5495095147422,98.0051364097161 20.5366403276001,98.0533153406713 20.5229282137519,98.1012476243579 20.5083773500404,98.148918660138 20.4929921687995,98.1963139269524 20.4767773565045,98.2434189877436 20.4597378523443,98.2902194938538 20.4418788467169,98.3367011893954 20.4232057796485,98.3828499155938 20.4037243391362,98.4286516150998 20.3834404594154,98.4740923362722 20.3623603191525,98.519158237427 20.3404903395623,98.5638355910541 20.3178371824526,98.608110787999 20.2944077481943,98.6519703416076 20.2702091736202,98.6954008918351 20.2452488298505,98.7383892093152 20.2195343200476,98.7809221993899 20.1930734771005,98.8229869060984 20.1658743612381,98.8645705161235 20.1379452575746,98.9056603626949 20.1092946735857,98.9462439294472 20.0799313365166,98.9863088542328 20.0498641907244,99.0258429328875 20.0191023949528,99.064834122948 19.987655319543,99.1032705473201 19.9555325435786,99.1411404978966 19.9227438519685,99.1784324391236 19.8892992324657,99.2151350115147 19.8552088726253,99.2233627858628 19.847401006306,99.2512370351106 19.8204831567012,99.2867275128854 19.7851326624828,99.3215956340957 19.7491681580732)",4
